DATE,EXPECTED TYPE A TRUCKS,ACTUAL  TYPE A TRUCKS,OUTSIDE EXTRA  TYPE A TRUCKS,EXPECTED  TYPE B FORK TRUCKS,ACTUAL  TYPE B TRUCKS,EXPECTED  TYPE C TRUCKS,ACTUAL  TYPE C TRUCKS,"LARGE DELIVERIES 
(LBS)",SMALL DELIVERIES (LBS),"LARGE DELIVERIES 
(QTY)","SMALL DELIVERIES 
(QTY)"," RESCHEDULES
(QTY)","RESCHEDULES
(LBS)"
8-Feb-23,21,21,0,9,9,3,3,"5,061,885","475,665",105,175,5,"3,891"
9-Feb-23,21,18,0,9,9,3,3,"3,469,335","469,350",147,182,5,863
10-Feb-23,21,21,0,9,6,3,3,"5,747,970","680,310",147,252,4,993
13-Feb-23,21,21,0,9,6,3,3,"10,649,595","1,087,335",280,315,4,0
14-Feb-23,21,21,0,9,9,3,3,"3,344,190","655,680",203,182,3,238
15-Feb-23,21,21,0,9,9,3,3,"9,660,585","1,102,155",294,322,4,0
16-Feb-23,21,21,0,9,9,3,3,"6,328,875","795,300",189,294,3,0
17-Feb-23,21,18,0,9,9,3,3,"8,547,210","732,210",210,315,2,"3,700"
20-Feb-23,21,21,0,9,9,3,3,"11,720,205","671,730",322,182,2,0
21-Feb-23,21,21,0,9,9,3,3,"7,421,190","880,275",140,385,2,0
22-Feb-23,21,24,6,9,6,3,3,"15,022,965","631,575",357,273,4,0
23-Feb-23,21,18,0,9,6,3,3,"9,604,800","576,150",294,210,3,0
24-Feb-23,21,21,0,9,6,3,3,"6,905,280","603,360",175,196,5,0
27-Feb-23,21,24,6,9,6,3,3,"13,815,465","903,810",357,252,5,0
28-Feb-23,21,24,6,9,6,3,3,"12,670,695","423,600",280,161,4,0
1-Mar-23,21,24,6,9,6,3,3,"14,544,810","623,505",364,196,5,0
