Date,Trucks (qty),Deliveries (lbs.),Deliveries (qty),Reschedules (qty),Reschedules (lbs.),Temperature (°F),Precipitation (in),Lumber ($)
3/8/2024,39,12432975,455,6,31338,54,0.03,576
3/9/2024,38,14561338,628,5,11148,59.4,0.1,593.6
3/10/2024,38,14552979,627,5,11171,59.4,0.1,592.8
3/11/2024,39,18453510,861,8,18975,53,0,578
3/12/2024,39,17006115,728,6,18362,63,0,575
3/13/2024,39,19381215,945,5,3401,70,0,566
3/14/2024,42,18966975,840,7,19000,74,0,555
3/15/2024,39,20446590,742,5,2791,61,0.38,560
3/16/2024,38,14502827,623,5,11312,59.6,0.1,588.3
3/17/2024,38,14494468,623,5,11336,59.7,0.1,587.6
3/18/2024,36,18094215,854,5,8223,47,0,606
3/19/2024,39,18844005,714,7,11450,49.5,0,607.5
3/20/2024,39,18419070,721,7,3600,59.5,0,608.5
3/21/2024,36,17097030,728,7,9306,59.5,0.29,609
3/22/2024,39,20410905,721,5,8562,60.5,0,609
3/23/2024,37,14444316,619,5,11477,59.9,0.1,583.1
3/24/2024,37,14435957,618,5,11500,59.9,0.1,582.4
3/25/2024,36,15907485,805,7,16639,56,0.07,610
3/26/2024,39,12622350,623,6,8631,46.5,0,599.5
3/27/2024,39,16565835,693,8,19871,49.5,0,587
3/28/2024,36,14245980,616,8,14817,53.5,0,586.5
3/29/2024,33,13158750,574,4,8524,67.5,0,586.5
3/30/2024,37,14385805,614,5,11641,60.1,0.1,577.9
3/31/2024,37,14377446,614,5,11665,60.1,0.1,577.2
4/1/2024,39,16771950,742,9,14637,71.5,0.33,595
4/2/2024,42,9641010,574,5,14507,54.5,0,584.5
4/3/2024,39,17204475,700,6,13562,56,0,581
4/4/2024,42,17681100,763,5,10299,59.5,0,581
4/5/2024,38,14388124,619,5,10692,60.6,0.1,572.5
4/6/2024,38,14379765,619,5,10716,60.6,0.1,571.8
4/7/2024,38,14371407,618,5,10739,60.6,0.1,571
4/8/2024,39,17422935,903,6,12165,63.5,2.47,563.5
4/9/2024,39,19748025,679,6,17535,63,0.99,556
4/10/2024,36,15319470,588,6,23484,56.5,0.11,553
4/11/2024,33,13012920,658,7,11584,57,0,553
